"VDC";"r Vo.V";"i Vo.V"
0.267;0.1243;0
0.2675;0.124715;0
0.268;0.125129;0
0.2685;0.125544;0
0.269;0.125959;0
0.2695;0.126374;0
0.27;0.12679;0
0.2705;0.127205;0
0.271;0.127621;0
0.2715;0.128038;0
0.272;0.128454;0
0.2725;0.128871;0
0.273;0.129287;0
0.2735;0.129704;0
0.274;0.130122;0
0.2745;0.130539;0
0.275;0.130957;0
0.2755;0.131375;0
0.276;0.131793;0
0.2765;0.132211;0
0.277;0.13263;0
0.2775;0.133049;0
0.278;0.133468;0
0.2785;0.133887;0
0.279;0.134307;0
0.2795;0.134726;0
0.28;0.135146;0
0.2805;0.135566;0
0.281;0.135986;0
0.2815;0.136407;0
0.282;0.136828;0
0.2825;0.137248;0
0.283;0.137669;0
0.2835;0.138091;0
0.284;0.138512;0
0.2845;0.138934;0
0.285;0.139356;0
0.2855;0.139778;0
0.286;0.1402;0
0.2865;0.140623;0
0.287;0.141045;0
0.2875;0.141468;0
0.288;0.141891;0
0.2885;0.142315;0
0.289;0.142738;0
0.2895;0.143162;0
0.29;0.143586;0
0.2905;0.14401;0
0.291;0.144434;0
0.2915;0.144858;0
0.292;0.145283;0
0.2925;0.145708;0
0.293;0.146133;0
0.2935;0.146558;0
0.294;0.146983;0
0.2945;0.147409;0
0.295;0.147834;0
0.2955;0.14826;0
0.296;0.148686;0
0.2965;0.149113;0
0.297;0.149539;0
0.2975;0.149966;0
0.298;0.150392;0
0.2985;0.150819;0
0.299;0.151246;0
0.2995;0.151674;0
0.3;0.152101;0
0.3005;0.152529;0
0.301;0.152957;0
0.3015;0.153385;0
0.302;0.153813;0
0.3025;0.154241;0
0.303;0.15467;0
0.3035;0.155098;0
0.304;0.155527;0
0.3045;0.155956;0
0.305;0.156385;0
0.3055;0.156815;0
0.306;0.157244;0
0.3065;0.157674;0
0.307;0.158104;0
0.3075;0.158534;0
0.308;0.158964;0
0.3085;0.159394;0
0.309;0.159825;0
0.3095;0.160255;0
0.31;0.160686;0
0.3105;0.161117;0
0.311;0.161548;0
0.3115;0.16198;0
0.312;0.162411;0
0.3125;0.162843;0
0.313;0.163274;0
0.3135;0.163706;0
0.314;0.164138;0
0.3145;0.164571;0
0.315;0.165003;0
0.3155;0.165436;0
0.316;0.165868;0
0.3165;0.166301;0
0.317;0.166734;0
0.3175;0.167167;0
0.318;0.1676;0
0.3185;0.168034;0
0.319;0.168467;0
0.3195;0.168901;0
0.32;0.169335;0
0.3205;0.169769;0
0.321;0.170203;0
0.3215;0.170638;0
0.322;0.171072;0
0.3225;0.171507;0
0.323;0.171941;0
0.3235;0.172376;0
0.324;0.172811;0
0.3245;0.173246;0
0.325;0.173682;0
0.3255;0.174117;0
0.326;0.174553;0
0.3265;0.174988;0
0.327;0.175424;0
0.3275;0.17586;0
0.328;0.176296;0
0.3285;0.176733;0
0.329;0.177169;0
0.3295;0.177606;0
0.33;0.178042;0
0.3305;0.178479;0
0.331;0.178916;0
0.3315;0.179353;0
0.332;0.179791;0
0.3325;0.180228;0
0.333;0.180665;0
0.3335;0.181103;0
0.334;0.181541;0
0.3345;0.181979;0
0.335;0.182417;0
0.3355;0.182855;0
0.336;0.183293;0
0.3365;0.183732;0
0.337;0.18417;0
0.3375;0.184609;0
0.338;0.185048;0
0.3385;0.185486;0
0.339;0.185926;0
0.3395;0.186365;0
0.34;0.186804;0
0.3405;0.187243;0
0.341;0.187683;0
0.3415;0.188123;0
0.342;0.188562;0
0.3425;0.189002;0
0.343;0.189442;0
0.3435;0.189883;0
0.344;0.190323;0
0.3445;0.190763;0
0.345;0.191204;0
0.3455;0.191644;0
0.346;0.192085;0
0.3465;0.192526;0
0.347;0.192967;0
0.3475;0.193408;0
0.348;0.193849;0
0.3485;0.194291;0
0.349;0.194732;0
0.3495;0.195174;0
0.35;0.195616;0
0.3505;0.196057;0
0.351;0.196499;0
0.3515;0.196941;0
0.352;0.197384;0
0.3525;0.197826;0
0.353;0.198268;0
0.3535;0.198711;0
0.354;0.199153;0
0.3545;0.199596;0
0.355;0.200039;0
0.3555;0.200482;0
0.356;0.200925;0
0.3565;0.201368;0
0.357;0.201811;0
0.3575;0.202255;0
0.358;0.202698;0
0.3585;0.203142;0
0.359;0.203586;0
0.3595;0.20403;0
0.36;0.204473;0
0.3605;0.204918;0
0.361;0.205362;0
0.3615;0.205806;0
0.362;0.20625;0
0.3625;0.206695;0
0.363;0.207139;0
0.3635;0.207584;0
0.364;0.208029;0
0.3645;0.208474;0
0.365;0.208919;0
0.3655;0.209364;0
0.366;0.209809;0
0.3665;0.210254;0
0.367;0.2107;0
0.3675;0.211145;0
0.368;0.211591;0
0.3685;0.212037;0
0.369;0.212483;0
0.3695;0.212928;0
0.37;0.213375;0
0.3705;0.213821;0
0.371;0.214267;0
0.3715;0.214713;0
0.372;0.21516;0
0.3725;0.215606;0
0.373;0.216053;0
0.3735;0.2165;0
0.374;0.216946;0
0.3745;0.217393;0
0.375;0.21784;0
0.3755;0.218287;0
0.376;0.218735;0
0.3765;0.219182;0
0.377;0.219629;0
0.3775;0.220077;0
0.378;0.220524;0
0.3785;0.220972;0
0.379;0.22142;0
0.3795;0.221868;0
0.38;0.222316;0
0.3805;0.222764;0
0.381;0.223212;0
0.3815;0.22366;0
0.382;0.224109;0
0.3825;0.224557;0
0.383;0.225006;0
0.3835;0.225454;0
0.384;0.225903;0
0.3845;0.226352;0
0.385;0.226801;0
0.3855;0.22725;0
0.386;0.227699;0
0.3865;0.228148;0
0.387;0.228597;0
0.3875;0.229046;0
0.388;0.229496;0
0.3885;0.229945;0
0.389;0.230395;0
0.3895;0.230845;0
0.39;0.231294;0
0.3905;0.231744;0
0.391;0.232194;0
0.3915;0.232644;0
0.392;0.233094;0
0.3925;0.233545;0
0.393;0.233995;0
0.3935;0.234445;0
0.394;0.234896;0
0.3945;0.235346;0
0.395;0.235797;0
0.3955;0.236248;0
0.396;0.236699;0
0.3965;0.23715;0
0.397;0.237601;0
0.3975;0.238052;0
0.398;0.238503;0
0.3985;0.238954;0
